term,estimate,std.error,statistic,p.value,conf.low,conf.high
(Intercept),-1.063467967260118,0.08953668346489764,-11.877455430622966,2.1347913572471003e-24,-1.2401445108686542,-0.8867914236515817
co2_radiative_forcing,1.7790298787306615,0.16798928858661746,10.590138774314592,1.1161153796529407e-20,1.4475482365456873,2.1105115209156358
eccentricity,0.09715388148162506,0.10232149903499049,0.9494962681146971,0.3436413525221257,-0.10475005427710334,0.29905781724035346
obliquity,0.1208612991232453,0.45347926974819264,0.2665200091513709,0.790143818532862,-0.7739579735678632,1.0156805718143538
perihelion,-0.44722455737186295,0.05761145614127696,-7.762771284155051,6.029174516568738e-13,-0.560905258391865,-0.3335438563518609
insolation,0.13042836930111415,0.1260479818996575,1.0347517456086186,0.3021730376915377,-0.11829339376925399,0.3791501323714823
global_insolation,0.7113160715218748,0.46155599808340436,1.5411262652323676,0.12504221550144654,-0.19944045046984882,1.6220725935135984
solar_modulation,0.01968514328883746,0.05849140275170784,0.3365476354260061,0.7368499720016249,-0.09573189550552413,0.13510218208319905
volcanic_forcing,0.2872581183988202,0.06658867345035029,4.3139186218059296,2.640246337857659e-5,0.1558632954791433,0.4186529413184971
